2025-05-31 07:05:48,070 - INFO - Test results: [(True, 'sent'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:05:53,509 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:05:58,327 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:03,730 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:09,204 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:14,475 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:19,731 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:24,978 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:30,237 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:35,485 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:40,732 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:45,988 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:51,228 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:06:56,486 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:01,726 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:06,981 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:12,235 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:17,483 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:22,729 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:27,978 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:33,238 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:38,470 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:43,741 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:48,999 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:54,242 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:07:59,497 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:04,781 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:09,982 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:15,229 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:20,484 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:25,732 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:31,054 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:36,259 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:41,569 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:46,837 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:52,224 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:08:57,479 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:02,737 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:07,981 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:13,227 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:18,621 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:23,979 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:29,244 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:34,503 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:09:39,750 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
